datetime#topic#title#url#image_url#language#score#source_domain#description
2020-04-02 20:20:46#world#韓国総選挙スタート 高支持率を背に文与党は逃げ切り狙う - 産経ニュース#https://www.sankei.com/world/news/200402/wor2004020017-n1.html#https://www.sankei.com/images/news/200402/wor2004020017-p1.jpg#ja#0.7579#www.sankei.com#【ソウル＝桜井紀雄】韓国で１５日に投開票される総選挙の選挙戦が２日、スタートした。新型コロナウイルスの感染拡大が完全に収まらない中、候補らは制約のある異例の選挙…
2020-04-02 11:49:13#tech#「勇者ヤマダくん」（Steam/Switch）体験版の配信が本日より順次開始。無料アップデートでの「勇者ヤマダくん2 〜幻の花嫁〜」追加も#https://www.4gamer.net/games/485/G048559/20200402014/#https://www.4gamer.net/games/485/G048559/20200402014/SS/002.jpg#ja#0.8779#www.4gamer.net#Onion Gamesは，RPG「勇者ヤマダくん」のSteam版とSwitch版の，体験版の配信およびアップデート記念の30％オフセールを，本日より順次開始する。また本日の無料アップデートで，本編には「勇者ヤマダくん2 〜幻の花嫁〜」が追加。サウンドトラック第2弾の販売も，本日開始だ。
2020-04-03 13:08:18#entertainment#志村けんが最後に愛した男・千鳥大悟 コメントが出せないほどに憔悴か ファンからは大悟の心身を心配する声があがっています#https://news.biglobe.ne.jp/trend/0403/tbl_200403_6196266124.html#https://news.biglobe.ne.jp/trend/0403/6196266124/tbl_shimuradaigo_thum800.png#ja#0.5994#news.biglobe.ne.jp#この投稿をInstagramで見る志村けん(@ken_shimura_bakatono67)がシェアした投稿–2019年4月月5日午前5時36分PDT志村けんさ…（2020年4月3日 13時8分18秒）
2020-04-03 15:07:03#business#日経平均大引け 5日ぶり小反発、1円高 米雇用統計巡り思惑が交錯#https://www.nikkei.com/article/DGXLAS3LTSEC1_T00C20A4000000/#https://assets.nikkei.jp/release/v3.2.81/parts/ds/images/common/icon_ogpnikkei.png#ja#0.5106#www.nikkei.com#3日の東京株式市場で日経平均株価は5日ぶりに小幅反発し、前日比1円47銭（0. 01%）高の1万7820円19銭で終えた。日本時間同日夜に発表を控える3月の米雇用統計を巡る思惑が交錯し、時間外取引で米
2020-04-03 04:08:28#entertainment#中止の「SXSW 2020」映画祭、米国にてオンライン開催へ ─ Amazon Primeとタッグ、フィルムメーカーにも報酬#https://theriver.jp/sxsw2020-film-amazon-prime/#https://theriver.jp/wp-content/uploads/2020/03/IMG_2710-1200x800.jpg#ja#0.8225#theriver.jp#実施することが大切
2020-04-07 00:00:00#sport#「軽症者受け入れ」アパホテルに称賛の声殺到 高須院長「必ず泊まりに行きます」#https://encount.press/archives/36542/#https://encount.press/wp-content/uploads/2020/04/7d8d12433a731d84348a4e1ffd1a0f10.jpg#ja#0.7269#encount.press#高須院長TwitterFacebookHatena軽症者や無症状の人を受け入れる意向を政府に伝えた　高須クリニックの高須克弥院長が3日、ツイッターを更新。同日、新型コロナウイルスに感染した軽症者や無症状の人を受け入れる意向を政府に伝えたアパホテルに言及した。
2020-04-03 14:56:00#sport#桜花賞、皐月賞も…クラシック７６年ぶりに無観客開催 ネット「この分ならダービーも…」#https://article.auone.jp/detail/1/6/12/185_12_r_20200403_1585893642169714#https://portal.st-img.jp/assets/img/article_ogp.jpg#ja#0.5106#article.auone.jp#新型コロナウイルス感染拡大防止のため、日本中央競馬会（ＪＲＡ）は２日、２月２９日から実施している無観客競馬を１９日まで継続すると発表した。これにより、桜花賞（１２日、阪神、ＧＩ、芝１６００メートル）
2020-04-04 08:00:00#world#シロイルカも興味津々！営業休止中の水族館で、館内を歩き回るペンギンたちの姿が人気#https://www.businessinsider.jp/post-210476#https://assets.media-platform.com/bi/dist/images/2020/04/01/5e839ea092e1917aa3710939-w960.jpg#ja#0.6588#www.businessinsider.jp#明るい話題が少ない中、アメリカではからっぽの水族館を探検するかわいらしいペンギンの姿が人々の心を温めている。そのペンギンは、新型コロナウイルスのパンデミックで営業休止中のイリノイ州シカゴにあるシェッド水族館にいる。ペンギンは今週、シロイル
2020-04-03 17:00:00#entertainment#米アマゾンがSXSW映画祭を救済 出品作が全米で視聴可能に#https://eiga.com/news/20200403/17/#https://eiga.k-img.com/images/buzz/83698/8b4fe0df2809bb77/640.jpg#ja#0.7351#eiga.com#新型コロナウイルス感染拡大の影響で開催を中止したサウス・バイ・サウスウェスト（SXSW）映画祭が、AmazonPrimeVideoを通じてオンライン開催されることが決定した。テックと映画と音楽の祭典であるSXSW2020は当初、米テキサス州
2020-04-02 21:00:14#sport#JRA種牡馬では最強世代「No.1」か!? グラスワンダー種牡馬引退で「第3」のステージへ！#https://biz-journal.jp/gj/2020/04/post_150024.html#https://biz-journal.jp/wp-content/uploads/2019/06/1214graswanda_top.jpg#ja#0.5399#biz-journal.jp#「どの世代が最強だったか」　競馬談義でよくある話題だ。そして必ず「1995年生まれ」が挙げられる。　武豊に初の日本ダービー（G1）勝利をプレゼントした「. . . 
