datetime#topic#title#url#image_url#language#score#source_domain#description
2020-04-02 20:00:45#world#Katten zijn mogelijk toch vatbaar voor coronavirus#https://nl.metrotime.be/2020/04/02/must-read/katten-zijn-mogelijk-toch-vatbaar-voor-coronavirus/#https://nl.metrotime.be/wp-content/uploads/2020/04/erik-jan-leusink-IbPxGLgJiMI-unsplash.jpg#nl#0.0#nl.metrotime.be#Het wetenschappelijk bewijs is nog niet geleverd en de informatie is nog flinterdun, maar toch zijn er indicaties dat met name katten gevoelig zijn voor het coronavirus en dit kunnen overdragen op soortgenoten. 
2020-04-01 08:07:03#world#Europa werkt aan privacyvriendelijke coronavirus tracking-app#https://www.iculture.nl/nieuws/europa-privacy-coronavirus-tracking-app/#https://s3-storage.textopus.nl/wp-content/uploads/2020/04/1241484/01095637/pexels-photo-3902881.jpg#nl#0.0#www.iculture.nl#Europese wetenschappers willen een coronavirus tracking-app maken, voor contact met patiënten.  Privacy is daarbij belangrijk. 
2020-04-03 00:00:00#world#Facebook deelt in de VS locatiegegevens voor onderzoek naar coronavirus#https://www.nu.nl/tech/6042391/facebook-deelt-in-de-vs-locatiegegevens-voor-onderzoek-naar-coronavirus.html#https://media.nu.nl/m/yv0x1wfazep9_wd1280.jpg/facebook-deelt-in-de-vs-locatiegegevens-voor-onderzoek-naar-coronavirus.jpg#nl#0.296#www.nu.nl#Facebook deelt in de Verenigde Staten locatiegegevens, die het bedrijf middels zijn apps verzamelt, met onderzoekers.  De wetenschappers geven verwerkte data vervolgens door aan Amerikaanse steden en staten, zodat die de effectiviteit van coronamaatregelen kunnen monitoren. 
2020-04-02 17:31:48#world#Veelbelovend vaccin tegen COVID-19 op muizen getest#https://www.scientias.nl/veelbelovend-vaccin-tegen-covid-19-op-muizen-getest/#https://www.scientias.nl/wp-content/uploads/2020/04/micro-naalden.jpg#nl#0.4019#www.scientias.nl#Het vaccin zorgt ervoor dat muizen antilichamen tegen het virus aanmaken.  En als klap op de vuurpijl kan het ook nog eens vrijwel pijnvrij worden
2020-04-03 21:59:00#world#Het coronavirus in New York: ‘D-Day’ nadert rap#https://www.parool.nl/wereld/het-coronavirus-in-new-york-d-day-nadert-rap~b35c5922/#https://images2.persgroep.net/rcs/-x0HyXFWMy0xDsr09u5n8Gmmhy8/diocontent/169142146/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.0#www.parool.nl#Het aantal coronabesmettingen in de Amerikaanse staat New York heeft de 100. 000 overschreden.  Het dodental is in een etmaal opgelopen met 562 tot b. . . 
2020-04-03 22:17:48#world#Nieuw drama treft roemrijke Kennedy-dynastie: kleindochter v...#https://www.nieuwsblad.be/cnt/dmf20200403_04912646#https://static.nieuwsblad.be/Assets/Images_Upload/2020/04/04/de0291a4-75e6-11ea-8241-2b12c4c16da2_web_scale_0.5128205_0.5128205__.jpg#nl#0.6369#www.nieuwsblad.be#Neergeschoten, verongelukt, overdosis drugs, verdronken.  De Amerikaanse Kennedy-clan is nog maar eens door het noodlot getroffen.  Bobby Kennedy’s kleindoch. . . 
2020-04-03 18:39:39#entertainment#Pathé Thuis laat je elke dag één film gratis streamen#https://www.bright.nl/tips/artikel/5080081/gratis-films-kijken-film-pathe-thuis-streamen#https://www.bright.nl/sites/default/files/styles/liggend_hoge_resolutie/public/ANP190320298-1.jpg?itok=pieKLyX6#nl#0.5106#www.bright.nl#Streamingdienst Pathé Thuis geeft vanaf maandag 6 april tot 28 april elke dag een film cadeau die liefhebbers gratis thuis kunnen kijken. 
2020-04-02 16:45:00#entertainment#Marieke Lucas Rijneveld genomineerd voor Booker International Prize#https://www.volkskrant.nl/cultuur-media/marieke-lucas-rijneveld-genomineerd-voor-booker-international-prize~b92a3a4d/#https://images4.persgroep.net/rcs/N-iFwNJMz3O675hiO-BUvirXI1k/diocontent/169087334/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.5106#www.volkskrant.nl#De Nederlandse schrijver Marieke Lucas Rijneveld is met de vertaling van debuutroman De avond is ongemak met nog vijf anderen genomineerd voor de p. . . 
2020-04-02 09:02:50#entertainment#Typhoon voelt dankbaarheid voor burn-out#https://www.welingelichtekringen.nl/beroemd-2/1655959/typhoon-voelt-dankbaarheid-voor-burn-out.html#https://welingelicht-welingelichtekri.netdna-ssl.com/wp-content/uploads/2020/04/typhoon-voelt-dankbaarheid-voor-burn-out1585812007.jpeg#nl#0.5106#www.welingelichtekringen.nl#Typhoon voelt dankbaarheid voor burn-out - wel. nl
2020-03-11 00:00:00#entertainment#Coronavirus velt Joe Exotic uit Tiger King#https://www.rtlboulevard.nl/entertainment/showbizz/artikel/5079521/tiger-king-joe-exotic-besmet-met-coronavirus#https://www.rtlboulevard.nl/sites/default/files/styles/liggend_hoge_resolutie/public/content/images/2020/03/11/tiger%20king%20netflix.jpg?h=9e092354&itok=18I3MHNL#nl#0.0#www.rtlboulevard.nl#In navolging van veel andere sterren heeft ook Joe Exotic (57), oftewel Joe Maldonado-Passage, heeft het coronavirus opgelopen.  De 'Tiger King'-ster zit in de gevangenis een 22-jarige celstraf uit, maar is tijdelijk overgeplaatst naar een ziekenhuis.  Dat blijkt uit het gevangenisrapport. 
2020-04-03 11:53:58#entertainment#Directeur Mojo Concerts bezorgd om festivals vanwege coronavirus#https://festileaks.com/2020/04/mojo-concerts-coronavirus-festivals/#https://festileaks.com/wp-content/uploads/2019/06/WhatsApp-Image-2019-06-08-at-17.05.35.jpeg#nl#0.3612#festileaks.com#De directeur van Mojo is bezorgd om festivals vanwege het coronavirus.  Na 1 juni vinden onder meer Pinkpop, Down The Rabbit Hole en Lowlands plaats. 
2020-04-02 15:46:00#entertainment#Marieke Lucas Rijneveld als eerste Nederlander op shortlist Booker Prize#https://www.parool.nl/kunst-media/marieke-lucas-rijneveld-als-eerste-nederlander-op-shortlist-booker-prize~b172069b/#https://images1.persgroep.net/rcs/5ocQWLFXVF4j2EAiTrOGC-cACiI/diocontent/167379705/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.5106#www.parool.nl#De roman De avond is ongemak van Marieke Lucas Rijneveld is genomineerd voor de International Booker Prize.  Dat werd donderdagmiddag bekendgemaakt. 
