datetime#topic#title#url#image_url#language#score#source_domain#description
2020-04-04 00:16:04#world#Coronavirus: in alcuni Paesi la quarantena è di genere#https://www.money.it/coronavirus-quarantena-di-genere-paesi#https://www.money.it/local/cache-gd2/85/4b6796c44c298db8e876ac8393aac1.png?1585952105#it#0.0#www.money.it#Perù e Panama sono due casi particolari ai tempi del coronavirus: qui la quarantena per arginare l'epidemia è di genere.  Cosa significa esattamente?
2020-04-03 00:00:00#world#Coronavirus, il comandante americano Crozier lascia la sua portaerei: rimosso per aver denunciato l'epidemia a bordo#https://video.repubblica.it/dossier/coronavirus-wuhan-2020/coronavirus-il-comandante-americano-crozier-lascia-la-sua-portaerei-rimosso-per-aver-denunciato-l-epidemia-a-bordo/357409/357969#https://www.repstatic.it/video/photo/2020/04/03/699899/699899-thumb-full-720-capitano_030420.jpg#it#0.0#video.repubblica.it#Mentre Brett Crozier scende dalla portaerei statunitense Roosvelt, l'equipaggio si raduna per salutarlo, dedicandogli un coro da stadio.  Il. . . 
2020-04-03 07:33:50#world#"Coronavirus, Trump: ""Aiuti russi a Stati Uniti? Un bel gesto di Putin"""#https://video.corriere.it/esteri/coronavirus-trump-aiuti-russi-stati-uniti-bel-gesto-putin/24a266f4-757c-11ea-856e-f9aa62c97d7a#https://images2.corriereobjects.it/methode_image/Video/2020/04/03/Esteri/Foto%20Esteri%20-%20Trattate/20200403coronavirus_trump_aiuti_russi_a_stati_uniti_bel_gesto_di_putin_656_ori_crop_master__0x0_512x384_fb.jpg#it#0.6808#video.corriere.it#Il presidente americano sul cargo russo pieno di materiale medico «di alta qualità» arrivato a New York
2020-02-26 00:00:00#world#Coronavirus, Germania senza pasta fa spesa in Italia: treni speciali per le scorte#https://www.adnkronos.com/fatti/esteri/2020/04/02/coronavirus-germania-senza-pasta-spesa-italia-treni-speciali-per-scorte_J5XlYm9PI6RkCD9vNTSSnK.html#https://www.adnkronos.com/rf/image_size_1280x960/Pub/AdnKronos/Assets/Immagini/2020/02/26/pasta_scaffali_fg.jpg#it#0.4019#www.adnkronos.com#Già portati dall'Italia a Norimberga oltre 60mila pacchi di fusilli, più di 75mila pacchi di penne e 250mila pacchetti di spaghetti
2020-04-02 00:00:00#world#"Vaticano, il cardinale Charles Bo contro la Cina: ""Il regime del Partito comunista responsabile del coronavirus"""#https://www.liberoquotidiano.it/news/esteri/21703507/vaticano_charles_bo_coronavirus_responsabile_partito_comunista_cina.html#https://img2.liberoquotidiano.it/images/2020/04/02/152250652-2b7c4bfa-5c9c-40e0-8c19-31a8881cad38.jpg#it#0.6124#www.liberoquotidiano.it#In Vaticano c'è chi, sulla questione coronavirus, non si fa molti problemi a puntare il dito contro la Cina.  È Charles Bo , arcives. . . 
2020-04-03 08:46:31#science#Coronavirus, perché tutti parlano dei test sierologici#https://www.giornaledibrescia.it/italia-ed-estero/coronavirus-perch%C3%A9-tutti-parlano-dei-test-sierologici-1.3470975#https://www.giornaledibrescia.it/image/contentid/policy:1.3470973:1585896858/image.jpg?f=3x2&w=1200&$p$f$w=a9f248b#it#0.0#www.giornaledibrescia.it#Si tratta di un esame del sangue rivela chi è stato colpito senza sintomi.  Sì dal Veneto, Lombardia incerta
2020-04-02 00:00:00#entertainment#"Coronavirus, la sfida del museo Getty: ""Ricreate un'opera d'arte con oggetti e persone che avete in casa"""#https://video.repubblica.it/dossier/coronavirus-wuhan-2020/coronavirus-la-sfida-del-museo-getty-ricreate-un-opera-d-arte-con-oggetti-e-persone-che-avete-in-casa/357340/357900#https://www.repstatic.it/video/photo/2020/04/02/699724/699724-thumb-full-720-020420gettymuseumchallenge_5e85b.jpg#it#0.0772#video.repubblica.it#'Vi sfidiamo a ricreare le opere d'arte con cose (e le persone) che avete in casa.  Scegliete la vostra opera preferita.  Trovate tre oggetti sparsi. . . 
2020-04-03 11:52:48#world#"Covid-19 e Africa, ""tempesta perfetta"". La pandemia con gli occhi di Amref"#https://www.huffingtonpost.it/entry/covid-19-africa_it_5e86fc7ec5b6d302366dffc1#https://img.huffingtonpost.com/asset/5e87023f250000df026b7197.jpeg?cache=oAuz6nVcvW&ops=1200_630#it#0.5719#www.huffingtonpost.it#"Colloquio con il direttore generale Guglielmo Micucci: ""Più subdolo di Ebola, il Coronavirus manda al collasso la sanità"".  Difficile accesso all'acqua, pochissime terapie intensive in tutti gli Stati.  Oms: ""Se arriva in una metropoli è una catastrofe"""
2020-04-03 00:00:00#entertainment#"Giancarlo Magalli, impensabile mano tesa ad Adriana Volpe: ""Chiariamoci, il tribunale non serve"""#https://www.liberoquotidiano.it/news/spettacoli/televisione/21717338/giancarlo_magalli_adriana_volpe_chiariamoci_tribunale_non_serve.html#https://img2.liberoquotidiano.it/images/2020/04/03/084933848-f5cb2f32-4c9f-4f8b-abc1-f382b35261fa.jpg#it#0.7003#www.liberoquotidiano.it#Giancarlo Magalli vuole far pace con Adriana Volpe .  Basta rancori.  Basta liti.  Ma tra loro, dopo anni e anni di lavoro fianco a fianco, tutto &egra. . . 
2020-04-02 21:07:39#health#Covid-19, l’album di famiglia: dalla Sars (scomparsa), alla Mers che invece c’è ancora#https://www.corriere.it/cronache/20_aprile_02/covid-19-l-album-famiglia-sars-scomparsa-mers-che-invece-c-ancora-56fe8e48-7522-11ea-b9c4-182209d6cca4.shtml#https://images2.corriereobjects.it/methode_image/socialshare/2020/04/02/eac57896-7525-11ea-b9c4-182209d6cca4.jpg#it#0.0#www.corriere.it#I precedenti coronavirus che ci hanno attaccato e la minaccia (prevedibile) che non abbiamo parato
2020-04-03 15:09:09#entertainment#Grande Fratello Vip: Adriana Volpe e i segreti nel linguaggio in codice#https://www.solodonna.it/tv/grande-fratello-vip-adriana-volpe-e-quel-linguaggio-in-codice.php#https://www.solodonna.it/wp-content/uploads/2020/03/gf-vip-mamma-di-zequila-conferma-telefonata-adriana-volpe-volpezequila.jpg#it#0.5106#www.solodonna.it#Adriana Volpe manca dal Grande Fratello Vip ormai da due settimane: Andrea Denver parla con Paola Di Bendetto in codice, cosa si saranno detti?
2020-04-02 10:25:00#science#Coronavirus, l'Università Ca' Foscari lavora a un disinfettante in grado di eliminare il Covid-19 dalle superfici#https://www.repubblica.it/cronaca/2020/04/02/news/coronavirus_ca_foscari_lavora_a_disinfettante_in_grado_di_eliminarlo_dalle_superfici-252946155/#https://www.repstatic.it/content/nazionale/img/2020/04/02/125920288-0e90481f-665e-4fad-9ed6-842f550197c7.jpg#it#0.3818#www.repubblica.it#"Test in laboratorio insieme a un'azienda biotech su una molecola sviluppata nel campo agricolo.  ""Le simulazioni funzionano, pronti a dare la licenza"
2020-04-04 09:00:06#science#CORONAVIRUS e geologia. Con il lockdown meno micro terremoti, ecco perchè#https://www.3bmeteo.com/giornale-meteo/coronavirus-e-geologia--il-lockdown-ha-anche-effetti----sismici--330792#https://image.3bmeteo.com/images/newarticles/w_1280/coronavirus-il-lockdown-ha-anche-effetti-sismici-sulla-crosta-terrestre-3bmeteo-102776.jpg#it#0.0#www.3bmeteo.com#CORONAVIRUS, IL LOCKDOWN HA ANCHE EFFETTI SISMICI - La sospensione di gran parte delle attività umane, dai trasporti alla produzione
2020-04-03 17:38:00#sport#Coronavirus, il toccante messaggio di Carlo Ancelotti#https://sport.virgilio.it/coronavirus-il-toccante-messaggio-di-carlo-ancelotti-633298#https://wips.plug.it/cips/sport.virgilio.it/cms/2020/02/ancelotti-everton_1144782.jpg?w=640&a=c&h=360#it#0.0#sport.virgilio.it#L'ex tecnico del Napoli Ancelotti si esprime sull'emergenza Coronavirus: Cambierà le nostre vite. 
2020-04-03 19:49:42#world#"Covid-19, le femministe pro-aborto ""schedano"" medici e ospedali"#https://www.ilgiornale.it/news/cronache/covid-19-femministe-pro-aborto-schedano-medici-e-ospedali-1849763.html#https://www.ilgiornale.it/sites/default/files/foto/2019/05/15/1557905549-aborto-espontaneo-aplastada-cuestiones-257213.jpg#it#0.0#www.ilgiornale.it#"Sulla piattaforma ""Obiezione respinta"" le attiviste pro-aborto pubblicano l'elenco dei nominativi dei medici obiettori e delle strutture dove non è possibi"
2020-04-03 16:32:04#tech#ASUS ROG Phone 2, accessori ricarica e robot di pulizia tra le migliori offerte Gearbest#https://www.smartworld.it/webstore/offerte-del-giorno-gearbest-3-aprile-2020.html#https://www.smartworld.it/wp-content/uploads/2020/03/Gearbest-Foto-Final.png#it#0.6369#www.smartworld.it#Sono disponibili le nuove offerte del giorno targate Gearbest.  Come ormai da tradizione, eccovi serviti con la nostra selezione delle migliori, tra le qual
2020-04-02 00:00:00#sport#Serie A e coronavirus: ok da Spadafora a Gravina per protocollo FIGC#https://sport.sky.it/calcio/serie-a/2020/04/02/serie-a-coronavirus-spadafora-gravina-figc#https://static.sky.it/images/skysport/it/calcio/serie-a/2020/04/02/serie-a-coronavirus-spadafora-gravina-figc/spadafora gravina.jpg#it#0.296#sport.sky.it#Leggi su Sky Sport l'articolo Telefonata Spadafora-Gravina: scoppia la pace tra il Ministro e il mondo del calcio
2020-04-03 11:52:53#tech#Amazon Music: lo streaming è da oggi GRATIS#https://www.iphoneitalia.com/729413/amazon-music-streaming-gratis#https://static.iphoneitalia.com/wp-content/uploads/2019/07/amazon-music-unlimited.png.jpeg#it#0.694#www.iphoneitalia.com#Amazon Music è da oggi disponibile gratuitamente per tutti gli utenti che non hanno un abbonamento ad Amazon Prime o ad Amazon Music Unlimited. 
