datetime#topic#title#url#image_url#language#score#source_domain#description#share_url
2020-04-03 00:00:00#world#Deklica naj bo Corona, fantek pa Covid#https://novice.svet24.si/clanek/zanimivosti/5e870d39836b6/deklica-naj-bo-corona-fantek-pa-covid#https://cdn.kme.si/public/images-cache/806xX/2020/04/03/d76c20210755ae97478ebe815dd7f934/5e870ef6c46d5/d76c20210755ae97478ebe815dd7f934.jpeg#sl#0.0#novice.svet24.si#V preteklosti je bilo nekaj Indijcev, ki so jim starši izbrali ime Hitler, zdaj pa imajo prvi primer poimenovanju po zlaglasnem novem koronavirusu. #https://novice.svet24.si/clanek/zanimivosti/5e870d39836b6/deklica-naj-bo-corona-fantek-pa-covid
2020-03-04 11:38:00#tech#MeetUp webinar: Financiranje zdravstvenih inovacij v času COVID-19#https://www.racunalniske-novice.com/novice/sporocila-za-javnost/meetup-webinar-financiranje-zdravstvenih-inovacij-v-casu-covid-19.html#https://www.racunalniske-novice.com/images/1/H_MAX_1024x768/healthday.jpg#sl#0.3818#www.racunalniske-novice.com#O odgovorih na izzive bo govora na MeetUp webinarju 9.  aprila 2020 ob 14.  uri.  Pogovor bo potekal o trendih pri financiranju inovacij v zdravstvu pred krizo in spremembah zaradi kr#https://www.racunalniske-novice.com/novice/sporocila-za-javnost/meetup-webinar-financiranje-zdravstvenih-inovacij-v-casu-covid-19.html
2020-04-03 16:24:44#health#V ZDA razvijajo cepivo proti covidu-19 s spodbudnimi vmesnimi rezultati#https://reporter.si/clanek/svet/v-zda-razvijajo-cepivo-proti-covidu-19-s-spodbudnimi-vmesnimi-rezultati-768443#https://cdn.kme.si/public/images-cache/740xX/2020/03/01/357be4a9b96d6e0db960ccda0f7692cf/5e8590156f356/357be4a9b96d6e0db960ccda0f7692cf.jpeg#sl#0.5267#reporter.si#Znanstveniki z univerze v ameriškem Pittsburghu razvijajo cepivo proti covidu-19, ki po testiranju na miših kaže spodbudne rezultate.  V telesu se namreč raz#https://reporter.si/clanek/svet/v-zda-razvijajo-cepivo-proti-covidu-19-s-spodbudnimi-vmesnimi-rezultati-768443
2020-04-02 00:00:00#health#Japonsko zdravilo, ki ga bodo poslali tudi Sloveniji, nakazuje možnost učinkovitega načina zdravljenja pri lažjih potekih covida-19#https://www.vecer.com/japonsko-zdravilo-ki-ga-bodo-poslali-tudi-sloveniji-nakazuje-moznost-ucinkovitega-nacina-zdravljenja-pri-lazjih-potekih-covida-19-10151787#https://static.vecer.com/images/slike/2020/04/02/7794492.jpg#sl#0.7096#www.vecer.com#198#https://www.vecer.com/japonsko-zdravilo-ki-ga-bodo-poslali-tudi-sloveniji-nakazuje-moznost-ucinkovitega-nacina-zdravljenja-pri-lazjih-potekih-covida-19-10151787
2020-04-03 07:18:35#health#Zajezitev širjenja okužb z virusom COVID-19 v domovih za starejše#https://www.si21.com/Svet/Zajezitev_sirjenja_okuzb_z_virusom_COVID-19_v_domovih_za_starejse/#https://www.si21.com/f/pics/Svet/Sonnenpark_DSC5848_print_b.jpg#sl#0.0#www.si21.com#Spremljajte novice iz sveta in tujine na prvem slovenskem portalu Si21.  Vsebino priprapravljamoa samo za vas. #https://www.si21.com/Svet/Zajezitev_sirjenja_okuzb_z_virusom_COVID-19_v_domovih_za_starejse/
2020-04-02 00:00:00#health#To obetavno zdravilo zoper covid-19 bodo Japonci poslali v Slovenijo#https://novice.svet24.si/clanek/zdravje/5e85f11035928/to-obetavno-zdravilo-zoper-covid-19-bodo-japonci-poslali-v-slovenijo#https://cdn.kme.si/public/images-cache/806xX/2020/04/02/d20e5b5aaf91492035899a63ab7b2702/5e85f1f4d1f0e/d20e5b5aaf91492035899a63ab7b2702.jpeg#sl#0.4019#novice.svet24.si#Znanstveniki na visokih obratih iščejo najhitrejše poti do cepiva in zdravila za zloglasni koronavirus.  Med obetavnimi kandidati je tudi japonsko zdravilo za gripo favipiravir. #https://novice.svet24.si/clanek/zdravje/5e85f11035928/to-obetavno-zdravilo-zoper-covid-19-bodo-japonci-poslali-v-slovenijo
2020-04-02 15:20:30#health#Japonsko zdravilo favipiravir nakazuje možnost učinkovitega načina zdravljenja pri lažjih potekih covida-19#https://reporter.si/clanek/svet/japonsko-zdravilo-favipiravir-nakazuje-moznost-ucinkovitega-nacina-zdravljenja-pri-lazjih-potekih-covida-19-768254#https://cdn.kme.si/public/images-cache/740xX/2020/04/02/d20e5b5aaf91492035899a63ab7b2702/5e85f1f4d1f0e/d20e5b5aaf91492035899a63ab7b2702.jpeg#sl#0.7096#reporter.si#Japonsko zdravilo za gripo favipiravir, ki ga bo dežela vzhajajočega sonca poslala tudi Sloveniji, nakazuje učinkovitost pri zdravljenju covida-19 pri bolnik#https://reporter.si/clanek/svet/japonsko-zdravilo-favipiravir-nakazuje-moznost-ucinkovitega-nacina-zdravljenja-pri-lazjih-potekih-covida-19-768254
2020-04-03 08:29:47#sport#KAKŠNA GESTA! Jan Oblak je podpisal, Atletico rešuje, kar se rešiti da. Tu so podrobnosti dogovora ...#https://ekipa.svet24.si/clanek/nogomet/slovenci-v-tujini/5e86d7dbe49fc/atletico#https://cdn.kme.si/public/images-cache/615xX/2020/03/28/633c9f56c25663897993ea5ee21ab85a/5e7f40fab33af/633c9f56c25663897993ea5ee21ab85a.jpeg#sl#0.5848#ekipa.svet24.si#Atletico Madrid je s svojimi igralci dosegel dogovor o znižanju plač. #https://ekipa.svet24.si/clanek/nogomet/slovenci-v-tujini/5e86d7dbe49fc/atletico
2020-04-02 00:00:00#world#(ZAHTEVA) Trinajst voditeljev strank, članic Evropske ljudske stranke zahteva slovo od Orbanovega Fidesza#https://www.vecer.com/zahteva-12-voditeljev-strank-clanic-evropske-ljudske-stranke-zahteva-slovo-obranovega-fidesza-10151898#https://static.vecer.com/images/slike/2020/04/02/922022.jpg#sl#0.5994#www.vecer.com#211#https://www.vecer.com/zahteva-12-voditeljev-strank-clanic-evropske-ljudske-stranke-zahteva-slovo-obranovega-fidesza-10151898
2020-04-02 00:00:00#science#Prihaja rožnata superluna#https://www.slovenskenovice.si/stil/astro/clanek/prihaja-roznata-super-luna-295745#https://www.slovenskenovice.si/images/slike/2020/04/02/440033.jpg#sl#0.5994#www.slovenskenovice.si#Aprilska polna luna ima več imen – rožnata, potonikina in tudi velikonočna polna luna. #https://www.slovenskenovice.si/stil/astro/clanek/prihaja-roznata-super-luna-295745
2020-04-02 00:00:00#sport#Prvi so udarili Belgijci: Določili so prvaka in končali sezono#https://www.nogomania.com/Novica/Prvi-so-udarili-Belgijci-Dolocili-so-prvaka-in-koncali-sezono#https://www.nogomania.com/GetFile.ashx?id=200556&openType=image#sl#0.5994#www.nogomania.com#V Belgiji so izkoristili dejstvo, da njihova liga poteka v dveh fazah, tako so po skorajda končanem rednem delu razglasili prvaka.  S tem, kdo izpade in kdo napreduje v ligo, pa se bodo še ukvarjali. #https://www.nogomania.com/Novica/Prvi-so-udarili-Belgijci-Dolocili-so-prvaka-in-koncali-sezono
2020-04-02 00:00:00#world#Čustven zapis mame: Sporočam, da je misija uspela, hči je na domačih tleh#https://www.zurnal24.si/slovenija/z-madzarskim-letalom-se-vracajo-slovenci-iz-new-yorka-344641#https://zurnal24.si/media/img/a9/27/60d801e39f9e309a6771.jpeg#sl#0.5267#www.zurnal24.si#Iz New Yorka se organizirano vrača skupina slovenskih državljanov.  | Žurnal24#https://www.zurnal24.si/slovenija/z-madzarskim-letalom-se-vracajo-slovenci-iz-new-yorka-344641
2020-04-02 00:00:00#health#Japonski favipiravir nakazuje možnost učinkovitega načina zdravljenja pri lažjih potekih covida-19#https://www.dnevnik.si/1042926261#https://www.dnevnik.si/i/orig/2020/04/02/1249374.jpg#sl#0.7096#www.dnevnik.si#Japonsko zdravilo za gripo favipiravir, ki ga bo dežela vzhajajočega sonca poslala tudi Sloveniji, nakazuje učinkovitost pri zdravljenju covida-19 pri bolnikih, pri katerih potek bolezni ni težak, sporočajo iz posebne skupine na Fakulteti za farmacijo.  A pri tem dodajajo, da so dokazi še zelo omejeni. #https://www.dnevnik.si/1042926261
