datetime#topic#title#url#image_url#language#score#source_domain#description#share_url#page_id
2020-04-03 00:00:00#world#Magához tért az olajár, amely a héten már mínuszban is járt#https://hvg.hu/gazdasag/20200403_Magahoz_tert_az_olajar_amely_a_heten_mar_minuszban_is_jart#https://images.hvg.hu/image.jpg?id=ce26affe-4449-40f4-8572-275aa82fd8a4&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c#hu#0.0#hvg.hu#Az amerikai elnök mozgatta meg kicsit a piacot, amelyre egyszerre hat a koronavírus miatti keresletcsökkenés, illetve Szaúd-Arábia és Oroszország harca. #https://hvg.hu/gazdasag/20200403_Magahoz_tert_az_olajar_amely_a_heten_mar_minuszban_is_jart#nlHpSsiks
2020-04-02 10:48:00#world#Európában példátlan, amit az Orbán-kormány a munkavállalókkal tesz - figyelmeztetés érkezett#https://www.napi.hu/magyar_gazdasag/europaban_peldatlan_amit_az_orban-kormany_a_munkavallalokkal_tesz_figyelmeztetes_erkezett.703510.html#https://www.napi.hu/fototar/fototar/201108/orig/image1313518031_cropped_16-9_at_1567948704.jpg/780/#hu#-0.34#www.napi.hu#Napi. hu - Független üzleti és pénzügyi portál, benne magyar és nemzetközi hírek, elemzések, tőzsdei információk. #https://www.napi.hu/magyar_gazdasag/europaban_peldatlan_amit_az_orban-kormany_a_munkavallalokkal_tesz_figyelmeztetes_erkezett.703510.html#UrvyGixx7
2020-04-02 19:26:00#world#Dermesztő jövőt jósol Milánó polgármestere a járvány utánra#https://www.portfolio.hu/gazdasag/20200402/dermeszto-jovot-josol-milano-polgarmestere-a-jarvany-utanra-423854#https://cdn.portfolio.hu/articles/images-xl/m/i/l/milano-361118.jpg#hu#-0.0258#www.portfolio.hu#Nagyon hosszú és nehéz fázisnak nevezte az új koronavírus-fertőzés lassulása után következő időszakot Giuseppe Sala milánói polgármester a nemzetközi sajtónak, közte az MTI-nek adott interjúban, hangsúlyozva, hogy egész Európa korlátozások között fog élni, amíg nem találnak oltóanyagot. #https://www.portfolio.hu/gazdasag/20200402/dermeszto-jovot-josol-milano-polgarmestere-a-jarvany-utanra-423854#ckaBImWSO
2020-04-04 00:00:00#world#Koronavírus: egyetlen nap alatt 1500 halott Amerikában#https://hvg.hu/vilag/20200404_Koronavirus_egyetlen_nap_alatt_1500_halott_Amerikaban#https://images.hvg.hu/image.jpg?id=df1776b0-c8f1-41c9-97cb-7d0dd8e0996a&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c#hu#-0.6486#hvg.hu#Trump a maszkokról azt mondta, viselésük ajánlott, de nem kötelező.  Ő nem fog hordani. #https://hvg.hu/vilag/20200404_Koronavirus_egyetlen_nap_alatt_1500_halott_Amerikaban#rIz5Wrmvo
2020-04-03 17:05:00#world#ENSZ: több országban is élelmiszerhiány fenyeget#https://www.portfolio.hu/gazdasag/20200403/ensz-tobb-orszagban-is-elelmiszerhiany-fenyeget-424060#https://cdn.portfolio.hu/articles/images-lg/c/s/i/csillapithatatlan-a-vilag-cukorehsege-nem-lehet-belole-eleget-termelni-260903.jpg#hu#-0.4939#www.portfolio.hu#Szerte a világban százmilliókat fenyeget áruhiány, elsősorban Afrikában, ahol az emberek nagyban függenek az élelmiszerimporttól és az azok finanszírozásához szükséges exporttól - figyelmeztetett pénteken az ENSZ. #https://www.portfolio.hu/gazdasag/20200403/ensz-tobb-orszagban-is-elelmiszerhiany-fenyeget-424060#imJcivkA2
2020-04-03 00:00:00#world#A második világháború vége óta nem látott mértékben csökkenhet idén a szén-dioxid-kibocsátás#https://hvg.hu/tudomany/20200403_klimavaltozas_globalis_felmelegedes_szen_dioxid_kibocsatas_koronavirus_jarvany#https://images.hvg.hu/image.jpg?id=f725b5fc-7c2c-4a99-98b6-f4d707a65967&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c#hu#-0.5994#hvg.hu#Az előzetes számítások szerint 5 százalékkal, de akár még annál is nagyobb mértékben csökkenhet a világon a szén-dioxid-kibocsátás.  Örülni azonban egyelőre még korai. #https://hvg.hu/tudomany/20200403_klimavaltozas_globalis_felmelegedes_szen_dioxid_kibocsatas_koronavirus_jarvany#PyL3MiQb6
2020-04-03 00:00:00#world#Angela Merkel visszatért hivatalába a közel kéthetes karantén után#https://www.origo.hu/nagyvilag/20200403-angela-merkel-visszatert-hivatalaba-a-kozel-kethetes-karanten-utan.html#http://cdn.nwmgroups.hu/s/img/i/2003/20200325merkel-angela2.jpg#hu#0.0#www.origo.hu#Szóvivője kiemelte, hogy a kancellári hivatalban is szigorúan betartják a járvány lassítását szolgáló szabályokat. #https://www.origo.hu/nagyvilag/20200403-angela-merkel-visszatert-hivatalaba-a-kozel-kethetes-karanten-utan.html#sJGgKVMxX
2020-04-04 00:00:00#world#Donald Trump: Ajánlott, de nem kötelező a szájmaszkok viselése#https://www.origo.hu/nagyvilag/20200404-koronavirus-az-egyesult-allamokban-egyetlen-nap-alatt-csaknem-1500zal-nott-a-halottak-szama.html#http://cdn.nwmgroups.hu/s/img/i/2004/20200404white-house-coronavirus-task-force.jpg#hu#0.0173#www.origo.hu#A kormány a kórházaknak kifizeti azoknak a kezelését is, akiknek nincs egészségbiztosításuk. #https://www.origo.hu/nagyvilag/20200404-koronavirus-az-egyesult-allamokban-egyetlen-nap-alatt-csaknem-1500zal-nott-a-halottak-szama.html#svrAFoQ3K
2020-04-03 00:00:00#world#Leállítja Mexikó a Corona sör gyártását a koronavírus miatt#https://index.hu/kulfold/2020/04/03/koronavirus_corona_sor_mexiko_gyartas/#https://kep.cdn.index.hu/1/0/3237/32373/323733/32373319_2482377_75bc3d1faeb58d4804eb3c1d4c2b5d1f_wm.jpg#hu#-0.1531#index.hu#Leállítja Mexikó a Corona sör gyártását a koronavírus miatt - Árt az üzletnek a névrokonság is, de most a mexikói kormány által kihirdetett veszélyhelyzet miatt állnak le. #https://index.hu/kulfold/2020/04/03/koronavirus_corona_sor_mexiko_gyartas/#7pkQiWB3B
2020-04-03 09:11:00#world#Koronavírus: egyre jobban terjed a fertőzés az amerikai idősotthonokban#https://www.blikk.hu/aktualis/kulfold/koronavirus-egyre-jobban-terjed-a-fertozes-az-amerikai-idosotthonokban/8n1yg0g#https://ocdn.eu/pulscms-transforms/1/shJktkqTURBXy8wYzFhYjE2NTVhNDJhMWEwYmRiOTkwNzNhYmNjOTNjMC5qcGVnkpUDAMyDzRBozQk6lQLNBLAAwsM#hu#0.0#www.blikk.hu#Az amerikai idősotthonokban folyamatosan nő az elhalálozások száma. #https://www.blikk.hu/aktualis/kulfold/koronavirus-egyre-jobban-terjed-a-fertozes-az-amerikai-idosotthonokban/8n1yg0g#kUXcH320V
2020-04-03 22:00:00#world#Mínuszban zártak az amerikai indexek#https://www.portfolio.hu/uzlet/20200403/minuszban-zartak-az-amerikai-indexek-423880#https://cdn.portfolio.hu/articles/images-xl/t/r/a/traders-361338.jpg#hu#0.0#www.portfolio.hu#A vezet amerikai indexek közül a Dow Jones Index 1,7, az S&P 500 1,5 százalékos eséssel fejezte be a pénteki kereskedést, ebben szerepet játszahtott, hogy a várt 100 ezer helyett 700 ezerrel csökkent az Egyesült Államokban a nem mezőgazdaságban foglalkoztatottak száma márciusban.  A magyar tőzsde 1 százalékos eséssel zárta a napot, a leggyengébben a Mol teljesített hazai papírok közül.  Az irányadó európai részvényindexek is lejjebb kerültek a ma.  A tegnapot követően ismét hatalmasat emelkedett az olaj ára, a piac egyre optimistább afelől, hogy lesz valamilyen globálisan koordinált kitermeléscsökkentés. #https://www.portfolio.hu/uzlet/20200403/minuszban-zartak-az-amerikai-indexek-423880#QunydVk6y
2020-04-03 00:00:00#world#Észak-Korea elárulta, hol tart náluk a járvány#https://hvg.hu/vilag/20200403_eszak_korea_koronavirus_jarvany_karanten#https://images.hvg.hu/image.jpg?id=3418f9b6-21d6-4a9d-9f79-6b9e456ed366&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c#hu#0.0#hvg.hu#Ötszáz embert tartanak karanténban, pedig korábban még azt mondták, egyetlen fertőzött sincs az országban. #https://hvg.hu/vilag/20200403_eszak_korea_koronavirus_jarvany_karanten#5LkyU8UnI
2020-04-04 00:00:00#world#Pink felépült a koronavírusból#https://hvg.hu/elet/20200404_Pink_felepult_a_koronavirusbol#https://images.hvg.hu/image.jpg?id=ad5376ca-1c11-4285-a530-c6d736c7e8c6&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c#hu#0.0#hvg.hu#Ahogy hároméves fia is. #https://hvg.hu/elet/20200404_Pink_felepult_a_koronavirusbol#XWuiu6sRl
