datetime#topic#title#url#image_url#language#score#source_domain#description#share_url
2021-03-11 19:44:00#entertainment#Beiaardier Westerkerk speelt Radar Love: ‘Denk dat ik fan word’#https://www.parool.nl/amsterdam/beiaardier-westerkerk-speelt-radar-love-denk-dat-ik-fan-word~b43faf15/#https://images0.persgroep.net/rcs/El5AtQ6msaGVCFRUH-cBD7w10Rc/diocontent/200760257/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.8176#www.parool.nl#Als eerbetoon aan Golden Earring klonk donderdagmiddag in heel het land Radar Love.  Hoog boven Amsterdam speelde beiaardier Boudewijn Zwart het num. . . #https://www.parool.nl/amsterdam/beiaardier-westerkerk-speelt-radar-love-denk-dat-ik-fan-word~b43faf15/
2021-03-10 10:00:00#tech#AMD belooft de beste 1440p-videokaart met RX 6700 XT#https://gamer.nl/artikelen/hardware-update/amd-belooft-de-beste-1440p-videokaart-met-rx-6700-xt/#https://api.reshift.nl/modules/media/show_image/573301?width=600&height=315&crop=center#nl#0.7783#gamer.nl#Het aanbod next-gen videokaarten van AMD breidt uit met de Radeon RX 6700 XT, welke zich specifiek richt op 1440p-gaming.  In deze Hardware Update praten we je bij over al die nieuwigheid, maar maken we ook ruimte voor knutselwerk met Nvidia-kaarten en Microsofts keuzestress voor de volgende Surface. #https://gamer.nl/artikelen/hardware-update/amd-belooft-de-beste-1440p-videokaart-met-rx-6700-xt/
2021-03-11 10:25:40#tech#Bitcoin Max: Rijk worden met slechts 0,01 bitcoin!#https://www.crypto-insiders.nl/crypto-talk/bitcoin-max-rijk-worden-met-slechts-001-bitcoin/#https://www.crypto-insiders.nl/wp-content/uploads/2021/03/rijk_worden_met_slechts_001_bitcoin.png#nl#0.5983#www.crypto-insiders.nl#Bitcoin pakt de laatste tijd weer alle headlines, maar de meeste mensen zien nog steeds niet de volle potentie van de digitale munt.  Het is de eerste financiële asset in de geschiedenis van de mens met een gemaximeerde supply van 21 miljoen eenheden.  Over tien jaar is al 98% van die 21 miljoen bitcoin gemijnd en daarna komen er niet veel nieuwe bitcoin meer bij.  Op het moment van schrijven kost een kleine 0,01 bitcoin je nog geen €500, maar in de toekomst zou die hoeveelheid bitcoin weleens heel veel waard kunnen zijn. Als we het Global Wealth Report 2020 van het Zwitserse Credit Suisse moeten geloven zijn er op dit moment wereldwijd ongeveer 51,9 miljoen miljonairs.  Samen bezitten deze rijkaards ongeveer 43% van al het vermogen op onze aardbol.  Binnen deze groep geluksvogels zijn er nog eens 175 duizend mensen met een vermogen van meer dan $50 miljoen, 55 duizend met een vermogen van meer dan $100 miljoen en 4 duizend rijke stinkers met een vermogen van meer dan $500 miljoen.  Maar wat heeft dat met bitcoin te maken? Dat ga ik je nu vertellen!#https://www.crypto-insiders.nl/crypto-talk/bitcoin-max-rijk-worden-met-slechts-001-bitcoin/
2021-03-09 15:47:27#tech#Superrijken kopen ingestorte bitcoin op en jagen prijs omhoog#https://www.telegraaf.nl/financieel/7575161/superrijken-kopen-ingestorte-bitcoin-op-en-jagen-prijs-omhoog#https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/c022a8c2-80ee-11eb-a960-0218eaf05005.jpg#nl#0.7506#www.telegraaf.nl#De prijs van bitcoin stijgt richting zijn oude record.  Na enorme prijsdalingen van afgelopen week pakken vooral grote beleggers – whales – in deze cryptomarkt de munt weer op. #https://www.telegraaf.nl/financieel/7575161/superrijken-kopen-ingestorte-bitcoin-op-en-jagen-prijs-omhoog
2021-03-10 00:00:00#entertainment#Disney+ bereikt belangrijke mijlpaal en zet in op enorm nieuw aanbod#https://www.filmtotaal.nl/nieuws/79630#https://cdn.filmtotaal.nl/images/original/0mn84km0e5m4_hero.jpg#nl#0.6597#www.filmtotaal.nl#De streamingdienst Disney+ wil meer en meer!#https://www.filmtotaal.nl/nieuws/79630
2021-03-09 00:00:00#entertainment#Jochem Myjer heeft twee tatoeages waardoor hij positief blijft#https://www.rtlboulevard.nl/entertainment/showbizz/artikel/5218936/jochem-myjer-heeft-twee-tatoeages-waar-hij-positief-van#https://www.rtlboulevard.nl/sites/default/files/styles/liggend_hoge_resolutie/public/content/images/2021/03/09/ANP-88231860_0.jpg?h=c73431e7&itok=ru1rQKOK#nl#0.5574#www.rtlboulevard.nl#Cabaretier Jochem Myjer (43) heeft op zijn armen twee tatoeages gezet die hem helpen elke dag positief te blijven.  Dat vertelde de 43-jarige komiek dinsdagavond in een gesprek op het YouTube-kanaal van streamingdienst Cinetree. #https://www.rtlboulevard.nl/entertainment/showbizz/artikel/5218936/jochem-myjer-heeft-twee-tatoeages-waar-hij-positief-van
2021-03-10 11:50:26#sport#Supertransfer in de maak voor Mohamed Ihattaren#https://www.bladna.nl/supertransfer-mohamed-ihattaren,34727.html#https://www.bladna.nl/IMG/logo/supertransfer-mohamed-ihattaren.jpg#nl#0.5994#www.bladna.nl#Het contract van Mohamed Ihattaren bij PSV eindigt medio 2022 maar de speler lijkt het niet te willen verlengen.  Dat betekent waarschijnlijk dat er een transfer op volgt.  Ajax lijkt interesse te hebben, maar ze zijn niet de enigen. #https://www.bladna.nl/supertransfer-mohamed-ihattaren,34727.html
2020-01-10 00:00:00#sport#Groot Ajax-wapen wordt EK-verrassing#https://www.soccernews.nl/news/788122/groot-ajaxwapen-wordt-ekverrassing#https://www.voetbalimages.nl/media/fotos/full/frank-de-boer-oranje-15-11-2020-1.jpg#nl#0.7845#www.soccernews.nl#Frank de Boer maakte zondag zijn voorlopige selectie voor de WK-kwalificatiewedstrijden tegen Turkije (uit), Letland (thuis) en Gibraltar (u. . . #https://www.soccernews.nl/news/788122/groot-ajaxwapen-wordt-ekverrassing
2021-03-10 00:00:00#sport#Haaland blijft records aaneenrijgen: 'Hij is een van de besten ter wereld'#https://www.nu.nl/champions-league/6120936/haaland-blijft-records-aaneenrijgen-hij-is-een-van-de-besten-ter-wereld.html#https://media.nu.nl/m/9gfxausavr6i_wd1280.jpg/haaland-blijft-records-aaneenrijgen-hij-is-een-van-de-besten-ter-wereld.jpg#nl#0.6369#www.nu.nl#Hoewel Borussia Dortmund dinsdag ten koste van Sevilla de laatste acht in de Champions League bereikte, ging het na afloop vooral over Erling Haaland.  De spits van de Duitse topclub scoorde twee keer, maakte voor de zoveelste keer indruk en rijgt de records aaneen. #https://www.nu.nl/champions-league/6120936/haaland-blijft-records-aaneenrijgen-hij-is-een-van-de-besten-ter-wereld.html
2021-03-08 13:05:22#health#Meer bekendheid met zeldzame vormen van kanker kan levens redden#https://www.trouw.nl/zorg/meer-bekendheid-met-zeldzame-vormen-van-kanker-kan-levens-redden~bd55616c/#https://images0.persgroep.net/rcs/6FnbGAPvieKS8StXpTJxgDo5R7g/diocontent/181608326/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.6486#www.trouw.nl#De Nederlandse Federatie van Kankerpatiëntenorganisaties (NFK) wil dat artsen patiënten sneller laten controleren op zeldzame vormen van kanker.  Nu. . . #https://www.trouw.nl/zorg/meer-bekendheid-met-zeldzame-vormen-van-kanker-kan-levens-redden~bd55616c/
2021-03-08 00:00:00#world#Anticommunistische rap wakkert verzet aan in Cuba: 'Mijn volk wil vrijheid'#https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5218645/cuba-communisme-fidel-castro-verzet-vrijheid-rap-rappers#https://www.rtlnieuws.nl/sites/default/files/styles/liggend_hoge_resolutie/public/content/images/2021/03/08/20210308_155954.jpg?h=ef9e81df&itok=nwg9ZkmE#nl#0.6705#www.rtlnieuws.nl#"""Het is voorbij! Jullie tijd is op, de stilte is doorbroken. "" Zo gaan de teksten van Patria y Vida ('Het vaderland en het leven'), een Cubaans rapnummer dat in een paar weken tijd met 3 miljoen views een hit is geworden op het Caribische eiland.  Ook bij de communistische machthebbers is het niet onopgemerkt gebleven. "#https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5218645/cuba-communisme-fidel-castro-verzet-vrijheid-rap-rappers
